INDICADOR,VALOR
Accidentes de micromovilidad,26007
Hora con más accidentes,7
Accidentes en hora pico,2335
Porcentaje de accidentes en hora pico,8.98
Día con más accidentes,Martes
Accidentes en día pico,4194
Porcentaje en día pico,16.13
Localidad con más accidentes,KENNEDY
Accidentes en localidad principal,4594
Porcentaje en localidad principal,17.66
Vía con más accidentes,AVENIDA BOYACA
Accidentes en vía principal,1051
Tipo de accidente predominante,CHOQUE
Accidentes del tipo predominante,24305
Porcentaje del tipo predominante,93.46
Gravedad predominante,CON HERIDOS
Accidentes de gravedad predominante,23315
Porcentaje de gravedad predominante,89.65
Accidentes con bicicleta,25554
Porcentaje con bicicleta,98.26
