BARRIO,ACCIDENTES
TINTALA,285
LAS MARGARITAS,282
LOS ALAMOS,245
CIUDAD KENNEDY NORTE,218
HIPOTECHO,176
PROVIVIENDA,158
LAS DOS AVENIDAS,153
TIBABUYES,151
ESCOCIA,146
LAS DELICIAS,140
CENTRO FONTIBON,139
SUBA URBANO,138
HIPOTECHO SUR,135
PARIS,134
SANTA LUCIA,131
SABANA GRANDE,130
EL CHANCO I,129
PARQUE EL TUNAL,128
CIUDAD KENNEDY SUR,126
DINTALITO,121
SANTA HELENITA,121
PIO XII,118
TIMIZA,117
CIUDAD HAYUELOS,114
SABANA DE TIBABUYES,112
VILLA NELLY III SECTOR,111
MUZU,111
PINOS DE LOMBARDIA,110
AUTOPISTA MUZU,109
AEROPUERTO EL DORADO,108
FERROCAJA FONTIBON,108
BRASIL,107
BONANZA,107
SAN IGNACIO,106
RICAURTE,105
PATIO BONITO II,105
SAN FRANCISCO,104
EL RETAZO,104
HIPOTECHO OCCIDENTAL,103
VENECIA,102
ATENAS,97
EL CARMEN FONTIBON,97
PARIS GAITAN,97
SANTA ROSA,96
MARIA PAZ,95
CLUB DE LOS LAGARTOS,95
GALAN,94
SALAZAR GOMEZ,94
VILLA DEL RIO,92
NIZA NORTE,92
EL CORZO,91
VILLA ELISA,91
DINDALITO,90
LAGO DE SUBA,90
NORMANDIA,90
COOPERATIVA DE SUB-OFICIALES,89
PENSILVANIA,87
PROVIVIENDA OCCIDENTAL,87
MODELIA OCCIDENTAL,86
BOLIVIA,86
SANTA CECILIA,86
CIUDAD KENNEDY ORIENTAL,85
SALITRE OCCIDENTAL,84
SAN JOSE DE FONTIBON,83
SAN RAFAEL INDUSTRIAL,82
LA CABANA,80
SAN BERNARDINO,80
VERONA,80
ANDALUCIA II,79
BOCHICA II,79
MADELENA,79
JOSE ANTONIO GALAN,78
GRANJAS DE TECHO,77
SAN ANTONIO,77
BOSQUE POPULAR,77
PORCIUNCULA,76
LA ESTANCIA,76
VILLEMAR,76
PATIO BONITO,76
CHICO NORTE,75
BARLOVENTO,75
NIZA SUBA,75
LISBOA,73
FRANCO,73
OLAYA,72
VERSALLES FONTIBON,72
LA PAZ BOSA,71
AUTOPISTA MUZU ORIENTAL,70
EL ENSUENO,70
LOS CEDROS,70
MANDALAY,69
LA ESTRADA,69
RESTREPO,69
ORTEZAL,68
COSTA AZUL,68
TABORA,68
CASABLANCA,67
LA CATEDRAL,67
VEINTE DE JULIO,67
PARCELA EL PORVENIR,66
BOSA,66
CHICO SUR,66
QUIROGA SUR,65
VILLAS DE GRANADA I,64
LUSITANIA,64
REMANSO SUR,63
PASO ANCHO,63
LA PRADERA NORTE,62
SANTA FE,62
EL VERGEL,62
MARANDU,61
LA CASTELLANA,61
LA FRAGUA,61
MARSELLA,60
PUERTA DEL SOL,60
EL TINTAL CENTRAL,60
EL POA,60
PROVIVIENDA NORTE,60
ALQUERIA,59
ALQUERIA LA FRAGUA NORTE,59
ESTACION CENTRAL,59
PRIMAVERA OCCIDENTAL,59
LA ALAMEDA,58
ISLA DEL SOL,58
OSORIO III,58
LA GRANJA,57
SAN FERNANDO OCCIDENTAL,57
LA ESPERANZA NORTE,57
JIMENEZ DE QUESADA II SECTOR,57
