MVINOMBRE,ACCIDENTES,PORCENTAJE
AVENIDA BOYACA,1051,8.6
AVENIDA CIUDAD DE CALI,976,7.98
AVENIDA DE LAS AMERICAS,496,4.06
AVENIDA DEL CONGRESO EUCARISTICO,488,3.99
AVENIDA CIUDAD DE QUITO,484,3.96
AVENIDA MEDELLIN,466,3.81
AVENIDA CIUDAD DE VILLAVICENCIO,446,3.65
AVENIDA CARACAS,436,3.57
AVENIDA PRIMERO DE MAYO,435,3.56
AVENIDA CENTENARIO,359,2.94
AVENIDA CHILE,334,2.73
AVENIDA ALBERTO LLERAS CAMARGO,310,2.54
AVENIDA JORGE ELIECER GAITAN,281,2.3
AVENIDA PASEO DE LOS LIBERTADORES,276,2.26
AVENIDA TRANSVERSAL DE SUBA,240,1.96
AVENIDA AGOBERTO MEJIA CIFUENTES,231,1.89
AVENIDA DEL SUR,227,1.86
AVENIDA JOSE CELESTINO MUTIS,225,1.84
AVENIDA JORGE GAITAN CORTES,198,1.62
AVENIDA MARISCAL SUCRE,179,1.46
AVENIDA BATALLON CALDAS,174,1.42
AVENIDA COLON,168,1.37
AVENIDA ALFREDO D BATEMAN,158,1.29
AVENIDA LAUREANO GOMEZ,155,1.27
AVENIDA DE LA CONSTITUCION,147,1.2
AVENIDA LUIS CARLOS GALAN,138,1.13
AVENIDA GENERAL SANTANDER,137,1.12
AVENIDA FERNANDO MAZUERA,135,1.1
AVENIDA DE LOS COMUNEROS,127,1.04
AVENIDA LONGITUDINAL DE OCCIDENTE,90,0.74
AVENIDA PABLO VI,89,0.73
AVENIDA FERROCARRIL DE OCCIDENTE,82,0.67
AVENIDA RODRIGO LARA BONILLA,80,0.65
AVENIDA TINTAL,78,0.64
AVENIDA GERMAN ARCINIEGAS,74,0.61
AVENIDA EL RINCON,72,0.59
AVENIDA COLOMBIA,70,0.57
AVENIDA POPORO QUIMBAYA,69,0.56
AVENIDA SANTA BARBARA,67,0.55
AVENIDA ESPANA,67,0.55
AVENIDA PEPE SIERRA,63,0.52
AVENIDA FERROCARRIL DEL SUR,62,0.51
