PK_CALZADA,ACCIDENTES
91026862.0,57
1.0,29
91026007.0,28
3.0,27
91027128.0,27
24120709.0,26
510482.0,24
515572.0,24
601609.0,24
91033595.0,24
522101.0,24
518602.0,23
24122423.0,23
440049.0,22
24120675.0,22
24120012.0,22
24123219.0,22
91026575.0,22
91014295.0,21
24122918.0,21
515784.0,21
509266.0,20
91022743.0,20
601756.0,19
91021153.0,19
91033523.0,19
24121020.0,18
386749.0,18
513766.0,18
154278.0,18
162976.0,18
904005.0,17
508759.0,17
513911.0,17
527751.0,17
24120385.0,17
508998.0,17
151906.0,17
91011375.0,17
91026569.0,17
24120078.0,17
91035058.0,16
383002.0,16
91020777.0,16
514760.0,16
528588.0,15
24122129.0,15
91024969.0,15
382917.0,15
24122282.0,15
91010365.0,15
91026745.0,15
603362.0,14
91026966.0,14
522099.0,14
91026854.0,14
91014283.0,14
24120577.0,14
91026636.0,14
521977.0,14
521872.0,14
533871.0,14
515588.0,14
91060662.0,14
522674.0,13
24122380.0,13
91030499.0,13
513577.0,13
24121040.0,13
91027024.0,13
515746.0,13
412500.0,13
529233.0,13
518627.0,13
91033965.0,13
903509.0,13
604922.0,13
91026073.0,13
91027078.0,13
307190.0,12
502827.0,12
24122913.0,12
91033227.0,12
531383.0,12
91026011.0,12
187936.0,12
175726.0,12
521670.0,12
381256.0,12
515546.0,12
24121760.0,12
91035023.0,12
24121073.0,12
385806.0,12
601282.0,12
518027.0,12
903081.0,12
440007.0,12
145050.0,12
91029412.0,12
91026396.0,12
221312.0,11
91033047.0,11
91030147.0,11
91014104.0,11
2505708.0,11
152895.0,11
509052.0,11
359988.0,11
91024975.0,11
24121755.0,11
24120456.0,11
522377.0,11
323342.0,11
91034080.0,11
24123197.0,11
444679.0,11
472066.0,11
513177.0,11
902067.0,11
606397.0,11
91063836.0,11
508352.0,11
514011.0,11
385942.0,11
386435.0,11
91025356.0,11
513996.0,11
91025951.0,11
91027085.0,11
24122793.0,11
230851.0,10
91014042.0,10
519766.0,10
148373.0,10
24122365.0,10
91024968.0,10
24119929.0,10
91033643.0,10
91031534.0,10
604024.0,10
602294.0,10
91027381.0,10
514008.0,10
381791.0,10
24122040.0,10
521473.0,10
24120326.0,10
354037.0,10
158909.0,10
521793.0,10
91025710.0,10
24120304.0,10
24120471.0,10
152914.0,10
91027235.0,9
152560.0,9
91012684.0,9
359758.0,9
521632.0,9
91013941.0,9
522575.0,9
145852.0,9
24122447.0,9
513281.0,9
91024974.0,9
24121763.0,9
504903.0,9
24122116.0,9
602656.0,9
91027229.0,9
517971.0,9
515133.0,9
24120008.0,9
513190.0,9
91027063.0,9
514796.0,9
440107.0,9
504945.0,9
91024734.0,9
502558.0,9
24123538.0,9
91026812.0,9
91033060.0,9
91063983.0,9
146497.0,9
383513.0,9
24121100.0,9
508774.0,9
91013807.0,9
91011689.0,9
143301.0,9
602195.0,9
91026807.0,9
602554.0,9
91029408.0,9
91026896.0,9
91064022.0,9
604498.0,9
354267.0,9
91064556.0,9
152894.0,9
153684.0,9
91026533.0,9
91030266.0,8
91012580.0,8
50012190.0,8
91029050.0,8
530554.0,8
91030237.0,8
91013063.0,8
24122379.0,8
91024475.0,8
601951.0,8
91014436.0,8
513439.0,8
91025161.0,8
175846.0,8
91015269.0,8
91028934.0,8
515456.0,8
24122407.0,8
903971.0,8
519127.0,8
510950.0,8
91029486.0,8
381075.0,8
91029351.0,8
440014.0,8
382391.0,8
504137.0,8
509380.0,8
91033018.0,8
517917.0,8
351381.0,8
91014488.0,8
508584.0,8
91033309.0,8
91032106.0,8
91010754.0,8
602502.0,8
390463.0,8
513976.0,8
515371.0,8
91062417.0,8
24120139.0,8
503511.0,8
24121026.0,8
24123223.0,8
370262.0,8
357450.0,8
201237.0,8
531145.0,8
322972.0,8
91030952.0,8
137060.0,8
521385.0,8
24122172.0,8
24120334.0,8
24123561.0,8
518287.0,8
902761.0,8
522313.0,8
159808.0,8
353182.0,8
175704.0,8
91024696.0,8
603510.0,8
518427.0,8
514001.0,8
91029972.0,8
159099.0,8
91028519.0,8
91033865.0,8
602418.0,8
380426.0,8
389577.0,8
24121471.0,8
513936.0,8
24121166.0,8
91025945.0,8
185865.0,8
