VARIABLE,TIPO_DATO,NULOS,PORCENTAJE_NULOS,VALORES_UNICOS
FORMULARIO,string,0,0.0,26007
ANO_OCURRENCIA_ACC,int64,0,0.0,9
FECHA_HORA_ACC,"datetime64[us, UTC]",0,0.0,18835
HORA_NUM,int64,0,0.0,24
DIA_SEMANA,str,0,0.0,7
MES_OCURRENCIA_ACC,string,0,0.0,12
LOCALIDAD,string,0,0.0,20
BARRIO,string,4,0.015,875
MVINOMBRE,string,528,2.03,124
PK_CALZADA,float64,133,0.511,14389
LATITUD,float64,0,0.0,16513
LONGITUD,float64,0,0.0,16425
DISTANCIA_VIA,float64,0,0.0,377
CLASE_ACC,string,0,0.0,5
GRAVEDAD,string,0,0.0,3
TIPO_MICROMOVILIDAD,str,0,0.0,4
