MVINOMBRE,ACCIDENTES,PORCENTAJE
AVENIDA BOYACA,1038,8.57
AVENIDA CIUDAD DE CALI,970,8.01
AVENIDA DE LAS AMERICAS,492,4.06
AVENIDA DEL CONGRESO EUCARISTICO,484,4.0
AVENIDA CIUDAD DE QUITO,479,3.96
AVENIDA MEDELLIN,458,3.78
AVENIDA CIUDAD DE VILLAVICENCIO,442,3.65
AVENIDA PRIMERO DE MAYO,435,3.59
AVENIDA CARACAS,435,3.59
AVENIDA CENTENARIO,352,2.91
AVENIDA CHILE,332,2.74
AVENIDA ALBERTO LLERAS CAMARGO,308,2.54
AVENIDA JORGE ELIECER GAITAN,274,2.26
AVENIDA PASEO DE LOS LIBERTADORES,272,2.25
AVENIDA TRANSVERSAL DE SUBA,235,1.94
AVENIDA AGOBERTO MEJIA CIFUENTES,228,1.88
AVENIDA JOSE CELESTINO MUTIS,224,1.85
AVENIDA DEL SUR,220,1.82
AVENIDA JORGE GAITAN CORTES,197,1.63
AVENIDA MARISCAL SUCRE,179,1.48
AVENIDA BATALLON CALDAS,173,1.43
AVENIDA COLON,166,1.37
AVENIDA ALFREDO D BATEMAN,158,1.31
AVENIDA LAUREANO GOMEZ,155,1.28
AVENIDA DE LA CONSTITUCION,144,1.19
AVENIDA LUIS CARLOS GALAN,138,1.14
AVENIDA GENERAL SANTANDER,137,1.13
AVENIDA FERNANDO MAZUERA,133,1.1
AVENIDA DE LOS COMUNEROS,127,1.05
AVENIDA LONGITUDINAL DE OCCIDENTE,90,0.74
AVENIDA PABLO VI,88,0.73
AVENIDA FERROCARRIL DE OCCIDENTE,80,0.66
AVENIDA RODRIGO LARA BONILLA,80,0.66
AVENIDA TINTAL,76,0.63
AVENIDA GERMAN ARCINIEGAS,74,0.61
AVENIDA EL RINCON,72,0.59
AVENIDA COLOMBIA,70,0.58
AVENIDA POPORO QUIMBAYA,69,0.57
AVENIDA SANTA BARBARA,67,0.55
AVENIDA ESPANA,67,0.55
AVENIDA PEPE SIERRA,63,0.52
AVENIDA FERROCARRIL DEL SUR,62,0.51
AVENIDA BOSA,62,0.51
AVENIDA FUCHA,61,0.5
AVENIDA GABRIEL ANDRADE,58,0.48
AVENIDA SAN JOSE,58,0.48
AVENIDA MANUEL CEPEDA VARGAS,55,0.45
AVENIDA CIUDAD MONTES,49,0.4
AUTOPISTA AL LLANO,48,0.4
AVENIDA PASEO DEL COUNTRY,47,0.39
AVENIDA DE LA SIRENA,47,0.39
AVENIDA DEL SALITRE,46,0.38
AVENIDA DE LOS MUISCAS,43,0.36
AVENIDA ALSACIA,43,0.36
AVENIDA EL TABOR,43,0.36
AVENIDA BOLIVIA,42,0.35
AVENIDA CARLOS LLERAS RESTREPO,40,0.33
AVENIDA SANTA LUCIA,40,0.33
AVENIDA DE LA HORTUA,39,0.32
AVENIDA DE LAS MERCEDES,36,0.3
AVENIDA CARRERA 106,35,0.29
AVENIDA MORISCA,35,0.29
AVENIDA CAMINO DEL PRADO,34,0.28
AVENIDA CIUDAD DE LIMA,34,0.28
AVENIDA VERSALLES,33,0.27
AVENIDA SAN ANTONIO,33,0.27
AVENIDA SAN JUAN BOSCO,33,0.27
AVENIDA DE LA ESMERALDA,33,0.27
AVENIDA CASTILLA,31,0.26
AVENIDA IBERIA,27,0.22
AVENIDA TUNJUELITO,26,0.21
