MVINOMBRE,ACCIDENTES,PORCENTAJE
AVENIDA BOYACA,8,17.39
AVENIDA MEDELLIN,5,10.87
AVENIDA CENTENARIO,4,8.7
AVENIDA JORGE ELIECER GAITAN,3,6.52
AVENIDA CIUDAD DE QUITO,3,6.52
AVENIDA CIUDAD DE CALI,3,6.52
AVENIDA COLON,2,4.35
AVENIDA DEL CONGRESO EUCARISTICO,2,4.35
AVENIDA CALLEJAS,2,4.35
AVENIDA DE LA CONSTITUCION,2,4.35
AVENIDA SAN JUAN BOSCO,2,4.35
AVENIDA PASEO DEL COUNTRY,1,2.17
AVENIDA PASEO DE LOS LIBERTADORES,1,2.17
AVENIDA TRANSVERSAL DE SUBA,1,2.17
AVENIDA ALSACIA,1,2.17
AVENIDA CHILE,1,2.17
AVENIDA DEL SUR,1,2.17
AVENIDA DE LA HORTUA,1,2.17
AVENIDA TINTAL,1,2.17
AVENIDA AGOBERTO MEJIA CIFUENTES,1,2.17
AVENIDA CARRERA 103,1,2.17
