MVINOMBRE,ACCIDENTES,PORCENTAJE
AVENIDA DEL SUR,7,8.75
AVENIDA BOYACA,5,6.25
AVENIDA CENTENARIO,5,6.25
AVENIDA JORGE ELIECER GAITAN,4,5.0
AVENIDA TRANSVERSAL DE SUBA,4,5.0
AVENIDA CIUDAD DE VILLAVICENCIO,4,5.0
AVENIDA DE LAS AMERICAS,4,5.0
AVENIDA MANUEL CEPEDA VARGAS,4,5.0
AVENIDA CIUDAD DE CALI,3,3.75
AVENIDA MEDELLIN,3,3.75
AVENIDA PASEO DE LOS LIBERTADORES,3,3.75
AVENIDA FERNANDO MAZUERA,2,2.5
AVENIDA ALBERTO LLERAS CAMARGO,2,2.5
AVENIDA AGOBERTO MEJIA CIFUENTES,2,2.5
AVENIDA FERROCARRIL DE OCCIDENTE,2,2.5
AVENIDA DEL CONGRESO EUCARISTICO,2,2.5
AVENIDA 40 SUR,2,2.5
AVENIDA CIUDAD DE QUITO,2,2.5
AVENIDA ENRIQUE GRAU ARAUJO,1,1.25
AVENIDA JORGE URIBE BOTERO,1,1.25
AVENIDA SAN JOSE,1,1.25
AVENIDA DE LA CONSTITUCION,1,1.25
AVENIDA BATALLON CALDAS,1,1.25
AVENIDA CALLEJAS,1,1.25
AVENIDA CARACAS,1,1.25
AVENIDA DE LA ESMERALDA,1,1.25
AVENIDA LONGITUDINAL DE OCCIDENTE,1,1.25
AVENIDA SAN JUAN BOSCO,1,1.25
AVENIDA SAN BERNARDINO,1,1.25
AVENIDA TINTAL,1,1.25
AVENIDA DE LOS MUISCAS,1,1.25
AVENIDA VERSALLES,1,1.25
AVENIDA DE LA ESPERANZA,1,1.25
AVENIDA JORGE GAITAN CORTES,1,1.25
AVENIDA CHILE,1,1.25
AVENIDA PABLO VI,1,1.25
AVENIDA CAMINO DEL PRADO,1,1.25
AVENIDA JOSE CELESTINO MUTIS,1,1.25
